R0001	100001|.44 Magnum.1	Provides only only maneuver each combat, even if the bearer changes. [LSJ 19980302-2]
R0037	100045|Ambulance.2	If the action continues "as if unblocked", Methuselah that had declined to block before do not get another opportunity to block. [ANK 20190116]
R0038	100045|Ambulance.3	An action cannot continue "as if unblocked" after a combat resulting from a successful action (eg. {Bum's Rush}). [RTR 19970630]
R0039	100045|Ambulance.4	"continue as if unblocked" moves the action card from the ash heap (where it went when the action was blocked) to limbo (where it should be if the action is not blocked). If the action card is not in the ash heap, then the action cannot be continued. [LSJ 20070808-1]
R0040	100046|Ambush.1	If the target unlocks and the action is not blocked, it is successful but has no effect. [LSJ 20070411] [LSJ 20090514]
R0041	100047|Amria.1	The press can only be used during the current round. [TOM 19960521]
R0042	100048|Amulet of Temporal Perception.1	A second copy allows a second use in the same turn. [ANK 20230316]
R0043	100050|Anachronism.1	All weapons that provide ranged strikes are considered "ranged weapons" (eg. {Kerrie}). [LSJ 20060825]
R0044	100051|Ananasi Vampirephile.1	When setting the range for the round, no other effect can be used to reset the range. Skip the determine range step on that round, but other pre-range effects can be played afterwards. [RTR 19970630] [ANK 20180720]
R0045	100051|Ananasi Vampirephile.2	Can use {Pack Alpha} to put a retainer requiring [ani] in play. [LSJ 20060417]
R0046	100052|Anarch Free Press, The.1	A hunt is not successful if no blood is gained, even if the hunt action is still successful. [LSJ 20050720-2]
R0047	100052|Anarch Free Press, The.2	Using it for the hunt bonus does not make the hunt an action "requiring an Anarch". [ANK 20220317]
R0048	100055|Anarch Revolt.1	The cost is cumulative if they are multiple copies in play. [LSJ 19980225]
R0049	100055|Anarch Revolt.2	If a Methuselah controls no ready Anarch by the end of the unlock phase, they must burn 1 pool, even if they had a ready Anarch at some point during the unlock phase. [LSJ 20080106]
R0050	100058|Anarch Troublemaker.1	Can lock a vampire that is already locked. [PIB 20121031]
R0051	100060|Anathema.1	Burns the target vampire when the target is reduced to zero blood in combat, regardless of the source of the loss. [RTR 19980623]
R0052	100060|Anathema.2	Will not burn a vampire for entering a combat with zero blood: there must be an actual blood loss. [RTR 19980623]
R0053	100060|Anathema.3	Diablerie does not trigger Anathema. [LSJ 20021122-2] [ANK 20211112]
R0054	100060|Anathema.4	Does not trigger if the vampire is burned by aggravated damage during damage resolution. [LSJ 20021120]
R0055	100060|Anathema.5	Damage done by combat effects after combat ends do not trigger Anathema. [LSJ 19980225]
R0056	100060|Anathema.6	Multiple Anathemas don't multiply the pool gain. Once one Anathema resolves it burns the vampire and the others are burned before they get to resolve. [LSJ 20021117]
R0057	100060|Anathema.7	It is controlled by the controller of the minion it's on - it is not removed when another Methuselah is ousted. [PIB 20121028]
R0058	100063|Ancestor's Talisman, The.1	The effect is not optional. [RTR 19980707] [LSJ 19980722]
R0059	100064|Ancient Influence.1	Applies a pool gain then a pool loss. {Poison Pill} register a 5 pool loss in all cases, a Methuselah cannot withdraw even if the total was positive. [ANK 20180813]
R0060	100066|Anesthetic Touch.1	Does not end combat as a strike; it ends combat after strike resolution. It is still just a hand strike. [LSJ 20011210-1]
R0061	100066|Anesthetic Touch.2	A dodge won't prevent combat from ending after strike resolution. [LSJ 20011210-2]
R0062	100066|Anesthetic Touch.3	Does not end combat until after strike resolution, so the damage can be prevented or healed as normal. [LSJ 20011210-3]
R0063	100067|Angel of Berlin.1	May be played after a block is successful before combat begins. [LSJ 20060410]
R0064	100071|Ankara Citadel, Turkey, The.1	Concerning the cost of the cards, multiplications and divisions are applied first, followed by additions and subtractions. [RTR 20070707]
R0065	100076|Apparition.1	Can be played at any time in combat, even if there is no damage to prevent yet. [LSJ 20010315]
R0066	100076|Apparition.2	[CHI] Prevents up to 2 damage, it can prevent less. [RTR 20041202]
R0067	100076|Apparition.3	[CHI] Can prevent 1 damage twice on separated strikes in the same round. [ANK 20200318]
R0068	100078|Approximation of Loyalty.1	[pre] Cards and effects that are played "as the action is announced" must be played before playing "regular" action modifier or reaction cards. [ANK 20190425]
R0069	100078|Approximation of Loyalty.2	[pre] Replace the action card (if any) before playing it. [ANK 20181208]
R0070	100083|Arcanum Investigator.1	His action is directed against the Methuselah controlling the equipment, not the minion it's on. [LSJ 20090324]"
R0071	100084|Archon.1	If a vampire blocks an Archon, they burn 1 blood regardless of which action the Archon was taking. [RTR 19960221]
R0072	100084|Archon.2	Each copy of this card provides its own action: if the vampire manage to unlock during the minion phase, he can perform the action more than once (once per copy). [RTR 20030519]
R0073	100084|Archon.3	Burn blood effects are cumulative. [LSJ 19980225]
R0074	100084|Archon.4	A vampire with no blood can still block, they burn what they can. [LSJ 19970707]
R0075	100085|Archon Investigation.1	Must be played after blocks are declined, playing it implicitly declines block attempts. [LSJ 20070203]
R0076	100085|Archon Investigation.2	Must be played before action resolution, before any modifier or reaction played "as the action would be successful" are played (eg. cannot be played after a {Spying Mission} on the vampire triggers). [LSJ 19980105]
R0077	100085|Archon Investigation.3	Targets the bleeding vampire (eg. costs one more against {Secure Haven}, cannot be played on {Mimir}). [LSJ 20010817] [PIB 20131013]
R0078	100087|Armor of Caine's Fury.1	[VAL] Prevents up to 2 damage, it can prevent less. [RTR 20041202]
R0079	100087|Armor of Caine's Fury.2	[VAL] Can prevent 2 damage per round, from any strike, can prevent 2 times 1 damage from two different strikes. [ANK 20180117]
R0080	100088|Armor of Terra.1	[vis], [VIS] Can be used by a non-slave Gargoyle. [LSJ 20011204-2]
R0081	100089|Armor of Vitality.1	Prevents up to 3 damage, it can be used to prevent less. [RTR 20041202]
R0082	100089|Armor of Vitality.2	Cannot be used if there is no damage to prevent. [LSJ 20001114]
R0083	100089|Armor of Vitality.3	Unused prevention does not carry over. [LSJ 20001114]
R0084	100092|Army of Apparitions.1	[chi] Cannot be used during a referendum that is automatically passing. [PIB 20150105] [LSJ 19980107]
R0085	100096|Art of Love, The.1	Requirements do not apply when taking control of a card already in play. [TOM 19960226-1]
R0086	100096|Art of Love, The.2	Effects applied during the discard phase are applied before you return the ally. If you lose control of the ally before that, you do not return it. [ANK 20210313]
R0087	100097|Art of Memory, The.1	The effect is applied after resolving the action, including after all combats. [LSJ 20031112]
R0088	100097|Art of Memory, The.2	Can be used to retrieve the action card itself (if any). [LSJ 20041115]
R0089	100100|Art's Traumatic Essence.1	The action has no effect if the target is not unlocked anymore when it resolves. It is still considered successful and must be paid. [ANK 20181121]
R0090	100103|Asanbonsam Ghoul.1	If another effect also sets the range, the first to resolve has priority (eg. {Squirrel Balance} resolves before, {Neutral Guard} resolves after). [PIB 20120214]
R0091	100105|Ashes to Ashes.1	[thn], [THN] The end of combat is triggered by the vampire going to torpor - this can be interrupted by cards such as {Undying Tenacity} or {Undead Persistence}, but the vampire would still unlock, gain blood and be wounded. [LSJ 20020211] [LSJ 20021122]
R0092	100105|Ashes to Ashes.2	[thn], [THN] Cards that can be played at the end of combat (eg. {Amaranth}, {Decapitate}) can be played before combat ends. [LSJ 20011214-4]
R0093	100105|Ashes to Ashes.3	[for] If played on a diablerie attempt (eg. {Amaranth}), the diablerie is unsuccessful. Another {Amaranth} can be played. [LSJ 19970224] [LSJ 20011214-4]
R0094	100105|Ashes to Ashes.4	[for] If played by an ally, the ally is burned instead of going to torpor. [ANK 20170412] [RBK allies]
R0095	100105|Ashes to Ashes.5	[for] Cannot be played when burned as a result of a Blood Hunt referendum. [LSJ 20070417]
R0096	100106|Ashur Tablets.1	Can be played with no card in the ash heap. [PIB 20130119]
R0097	100106|Ashur Tablets.2	Is played without announcing targets: they are only chosen once the third copy get into play. [LSJ 20091030]
R0098	100106|Ashur Tablets.3	You must show which one goes in hand. [LSJ 20081129]
R0099	100111|Aura Absorption.1	[aus][REACTION] The burn blood effect is not reduced by effects that reduce the cost of the card (eg. {Helena (ADV)}). The card cannot be played if the minion cannot afford to burn the blood. [ANK 20210226]
R0100	100112|Aura of Invincibility.1	If the initial referendum does not pass, then the card is not put into play and the vampire playing it is not sent to torpor. [LSJ 20040730]
R0101	100112|Aura of Invincibility.2	Goes to the ash heap when played, if it has been removed when the referendum passes, it has no effect. [ANK 20220805]
R0102	100117|Autonomic Mastery.1	[DOM] Is a hand strike, and its resolution is simultaneous with the opponent's strike, unlike a normal combat ends strike. The opponent's strike do damage. [LSJ 20071112]
R0103	100120|Aye.1	Any frenzy card that targets/selects/chooses/affects the minion when played, is considered being played on the minion. [LSJ 20051113]
R0104	100120|Aye.2	The cards effects do not apply if the vampire is not Laibon. [ANK 20221208]
R0105	100121|Baal's Bloody Talons.1	The weapon does not burn if it is temporarily out of play (eg. {Kerrie}, {Dagger}). [LSJ 20100211-2]
R0106	100123|Backflip.1	The press can only be used during the current round. [TOM 19960521]
R0107	100124|Backstab.1	Can be played at any time before strike resolution, including after both minions have selected their strikes. [LSJ 20000215]
R0108	100125|Backstep.1	The press can only be used during the current round. [TOM 19960521]
R0109	100127|Baleful Doll.1	The bearer (if he unlocks normally) unlocks at the beginning of the unlock phase, before this effect can be used. [PIB 20151009] [RBK unlock-phase]
R0110	100128|Baltimore Purge.1	There is no time to use other effects between the choosing of the vampires and those vampires going to torpor. [LSJ 20050111]
R0111	100128|Baltimore Purge.2	The effect during the unlock phase is not an action, you can choose a vampire with a {Secure Haven} on them. [PIB 20121028]
R0112	100128|Baltimore Purge.3	If you control a ready Lasombra, the chosen vampires may not be older than the acting vampire. [ANK 20210529]
R0113	100129|Bamba.1	You only fetch one discipline card in total, not one in each of hand, library and ash heap. [LSJ 20090528-1]
R0114	100131|Banishment.1	Is not directed (eg. {Secure Haven} offers no protection). [ANK 20221019-3]
R0115	100131|Banishment.2	A banished vampire can be re-influenced normally. Cards on the banished vampire that change their capacity do not apply while uncontrolled, but additional blood for increased capacity does not drain off when they get controlled as these effects resume. [PIB 20140122] [TOM 19951209]
R0116	100131|Banishment.3	A banished vampire will remember all effects applied to them if they are influenced back. This includes gained or lost titles and continuous effects (eg. {The Rack}). [LSJ 20010809-3] [LSJ 20010809-2] [TOM 19960210] [RTR 20000501]
R0117	100131|Banishment.4	The vampire and all cards on them come back unlocked. This is not unlocking (ie. for {Anima Gathering}, {Vampiric Disease}) [LSJ 20060213] [LSJ 20060908]
R0118	100131|Banishment.5	The vampire is placed in their last permanent controller's uncontrolled region: it might not be the card owner. It is removed from the game when the controller is ousted. [ANK 20200408-2] [RTR 20000501]
R0119	100131|Banishment.6	Cannot be played if there is no legal target. [ANK 20191228]
R0120	100133|Banshee Ironwail.1	Triggering the burn blood effect does not force the minion to strike with the weapon. [LSJ 19971215]
R0121	100133|Banshee Ironwail.2	If a block is successful, the blood is burned before any other effect can be used (eg. {Promise of 1528}). REVERSAL of earlier rulings. [ANK 20210627]
R0122	100134|Barrenness.1	[mal] is unaffected by {Orun}. [MAL] is affected by {Orun} (add and subtract before applying the minimum of 1). [ANK 20180719-1]
R0123	100134|Barrenness.2	The burn option can be used if all your vampires with [mal] are in torpor. [LSJ 20091203]
R0124	100135|Barrens, The.1	Cannot be used when a card is played to draw a card that would cancel it "as it is played". [RTR 20040501]
R0125	100137|Baseball Bat.1	If put into play in a special way (eg. using {Concealed Weapon}), it is replaced immediately. [LSJ 20080702-2]
R0126	100137|Baseball Bat.2	If played normally, it is not replaced if {Gift of Bellona} is played after being blocked. [ANK 20200517-3]
R0127	100142|Bauble.1	If it is burned by another mean than its effect, the weapon is not burned. [LSJ 20090113-1]
R0128	100142|Bauble.2	It cannot be burned if the target equipment is not in play. [RTR 20080808]
R0129	100142|Bauble.3	Still cannot be burned if the target equipment was burned and somehow returned to play. [LSJ 20040726] [ANK 20191031]
R0130	100144|Bear-Baiting.1	Damage is environmental. [RTR 19970630]
R0131	100144|Bear-Baiting.2	Cannot be played if the blocker's crypt is empty. [LSJ 20031107]
R0132	100144|Bear-Baiting.3	{Change of Target} can be played after Bear-Baiting (younger, older, or the same age). [LSJ 20040312]
R0133	100144|Bear-Baiting.4	If the combat is canceled, the action is still blocked, {Mask of a Thousand Faces} cannot be used to continue it, but an effect can be used to continue the action as if unblocked (eg. {Crypt's Sons}, {Momentary Delay}). [LSJ 20090322] [ANK 20181003] [LSJ 20010803-2]
R0134	100146|Beast Meld.1	[ani][pro] The damage prevention can only be used if the block is successful, and only in the resulting (block-induced) combat. It does not carry over to a follow-up combat (eg. [CEL] {Psyche!}). [LSJ 20010813] [LSJ 20010819-2]
R0135	100146|Beast Meld.2	[ani][pro] The damage prevention is provided again if a second block happens on the same action (eg. after [PRO] {Form of Mist}). [LSJ 20010814-2]
R0136	100146|Beast Meld.3	[ANI][PRO] Cards and effects that are played "as the action is announced" must be played before playing "regular" action modifier or reaction cards. [ANK 20190425]
R0137	100146|Beast Meld.4	[ANI][PRO] Replace the action card (if any) before playing it. [ANK 20181208]
R0138	100147|Becoming, The.1	Is a 1-capacity vampire while uncontrolled (eg. {Banishment}). [LSJ 20090625]
R0139	100153|Bestial Vengeance.1	Damage is environmental. [RTR 19970630]
R0140	100153|Bestial Vengeance.2	Bestial Vengeance's damage is inflicted whether or not the opposing minion's strike burns the retainer. [LSJ 20090616]
R0141	100156|Betrayer.1	The affected Methuselah is named when the card is played. [RTR 19980928]
R0142	100156|Betrayer.2	Each of their turns, the person subjected to Betrayer can name a vampire. If the guess is correct, Betrayer is burned. [RTR 19941109]
R0143	100156|Betrayer.3	Is cumulative: a player can be damaged by multiple Betrayers each turn. A Methuselah targeted by more than one Betrayer would have to pay 1 pool for each Betrayer in order to burn them, even if the same vampire is the betrayer in each case. [RTR 19941109]
R0144	100156|Betrayer.4	If the vampire chosen for Betrayer is burned, so is Betrayer. If the vampire chosen for Betrayer becomes contested, Betrayer is nullified until the contest is resolved, at which time the Betrayer is reactivated. If a player takes control of the vampire that is the target of the betrayer, that player takes the pool loss. [RTR 19941109]
R0145	100156|Betrayer.5	You select an uncontrolled vampire when you play the card. If you have a choice (more than one of your uncontrolled vampires is controlled by the other Methuselah), you still have to choose just one of them to be the Betrayer. [LSJ 19990419]
R0146	100159|Big Game.1	"that minion" refers to the target and "this minion" to the acting minion. [ANK 20180518]
R0147	100160|Bima.1	The discipline needs not be announced when Bima is played. The replacement card can be used if it is a discipline. [PIB 20150418]
R0148	100160|Bima.2	"that Discipline" refers to the card on Bima. If the card is no longer there, then the effect cannot be used. [LSJ 20071006]
R0149	100160|Bima.3	If it uses its last life to pay for an action, the action still resolves fully. If that leads to an oust, the oust is resolved before resolving effects triggered by the fact that the Bima burns. [LSJ 20080512]
R0150	100161|Bind the Night-Walker.1	The action ends immediately, no other action modifier or reaction can be played afterwards. [RTR 20180719]
R0151	100161|Bind the Night-Walker.2	The action has reached resolution, so is subject to NRA (Non Repeatable Action) rules. [ANK 20211015]
R0152	100163|Bitter and Sweet Story, The.1	When the controller is ousted, their predator does not draw cards. [ANK 20230527-2]
R0153	100165|Black Forest Base.1	Cannot be attempted twice even if the first attempted was blocked and failed. [LSJ 20091224]
R0154	100166|Black Gloves.1	Damage done to the bearer is environmental. [LSJ 19970801]
R0155	100171|Black Sunrise.1	Can be used by a vampire who is already attempting to block. [ANK 20181122-2]
R0156	100171|Black Sunrise.2	[QUI] Cannot be used if the vampire cannot attempt to block the action (eg. {Daring the Dawn}). [LSJ 20010714-2]
R0157	100171|Black Sunrise.3	[QUI] Does not ignore the normal prey, predator or target restrictions. [ANK 20180623]
R0158	100171|Black Sunrise.4	[QUI] The block attempt and subsequent combat still happen if the action lacks a suitable target because of the unlock (eg. {Ambush}). [LSJ 20090514]
R0159	100172|Black Throne, The.1	The contract effect can be used even if the target is burned or if the contract is burned when the target leaves the ready region (eg. {Priority Contract}). [PIB 20150512]
R0160	100172|Black Throne, The.2	The contract effect can be used if a minion with a contract leaves the ready region because his controller is ousted. [ANK 20180129-2]
R0161	100174|Blade Clot.1	Multiple clot counters can be placed on the same vampires if he his hit multiple times. When rescued by an older vampire, all clot counters are burned. [PIB 20150122]
R0162	100174|Blade Clot.2	The controller of a vampire with a clot counter in torpor chooses whether they stay there or burn. Allies cannot go to torpor, so they must burn. [LSJ 20080612-3]
R0163	100176|Blade of Enoch.1	Can be equipped by a vampire with capacity less than 6, although he cannot use it to strike and does not gain immunity to frenzy cards. [LSJ 20030607]
R0164	100177|Blanket of Night.1	[OBT] Can only be played by the controller of the acting minion. [LSJ 19990425]
R0165	100177|Blanket of Night.2	[OBT] Multiple copies can be played by different minions on the same action. [ANK 20200515]
R0166	100180|Blessed Blade.1	Additional damage inherits all of the properties of the base damage. [TOM 19960225]
R0167	100180|Blessed Blade.2	A minion who maneuvers with a weapon (eg. {Blade of Bellona}) may still use Blessed Blade to strike with that weapon as his initial strike that round. [ANK 20180704] [LSJ 20050304]
R0168	100181|Blessed Resilience.1	Only a controlled vampire can be burned from play. Uncontrolled and contested vampires do not qualify. [ANK 20210813]
R0169	100182|Blessing of Chaos.1	The prohibition to play certain cards applies from the moment the vampire attempts to block until the end of the action, even if he fails to block. [LSJ 20080818]
R0170	100183|Blessing of Durga Syn.1	Cannot be used if there is no equipment to steal. [RTR 19980928]
R0171	100184|Blessing of the Beast.1	The number of cards to put on it is announced when the card is played, they must be in hand before drawing the replacement for this card. [PIB 20150428] [LSJ 20100206-2]
R0172	100185|Blessing of the Name.1	Additional damage inherits all of the properties of the base damage. [TOM 19960225]
R0173	100189|Bliss.1	[dom][pre] [COMBAT] Can be used during a combat by a vampire in torpor. [LSJ 20020416]
R0174	100189|Bliss.2	[dom][pre] [COMBAT][REACTION] Can be played by a minion of a Methuselah not involved in the current combat. [ANK 20181101]
R0175	100190|Blissful Agony.1	[val] Damage is environmental. [RTR 19970630]
R0176	100190|Blissful Agony.2	[val] Damage is inflicted even against a dodge. A "strike: combat ends" ends combat before damage is applied, as will a combatant going to torpor during first strike. [RTR 19941109] [TOM 19951216] [PIB 20140324] [ANK 20200422]
R0177	100190|Blissful Agony.3	[VAL] If dodged, there is no new combat. [LSJ 20051020]
R0178	100190|Blissful Agony.4	[VAL] Cannot be played against an ally. [PIB 20111105]
R0179	100190|Blissful Agony.5	[VAL] In the new combat, the opponent goes first. [LSJ 20011214-3] [LSJ 20031212]
R0180	100190|Blissful Agony.6	[VAL] Cannot be used to start a new combat if there is already a pending combat queued. [RTR 20020501]
R0181	100190|Blissful Agony.7	[VAL] Cannot be used to start a new combat with a vampire on his way to torpor. [LSJ 20100604-1]
R0182	100190|Blissful Agony.8	[VAL] If both vampires play it, the acting Methuselah decides which resolves first. The other is lost. [PIB 20120225] [LSJ 20011215]
R0183	100190|Blissful Agony.9	[ani] Additional damage inherits all of the properties of the base damage. [TOM 19960225]
R0184	100191|Blithe Acceptance.1	[OBF] If a new combat begins (eg. {Psyche!}), you need to burn 1 blood again (or the card). [ANK 20230527]
R0185	100192|Blood Agony.1	Must be played before strike resolution and damage prevention in order to affect the current strike (can be played after both strikes have been chosen). [RTR 19960112]
R0186	100195|Blood Brother Ambush.1	Can be used by a Brujah Antitribu taking an action while in torpor. If this happens, the blocker loses the opportunity to commit diablerie. [RTR 20010710]
R0187	100195|Blood Brother Ambush.2	No other modifier can be played afterwards, combat begins immediately. [LSJ 20010806-2]
R0188	100195|Blood Brother Ambush.3	The vampire playing it is not considered having burned a minion (eg. for {Taking the Skin: Minion}), but the opponent is. [LSJ 20090922] [ANK 20220916]
R0189	100199|Blood Doll.1	Can be used when the vampire is in torpor. [PIB 20150522]
R0190	100201|Blood Fury.1	Additional damage inherits all of the properties of the base damage. [TOM 19960225]
R0191	100201|Blood Fury.2	Does not protect the target from self-inflicted damage from a weapon. [LSJ 19980216]
R0192	100201|Blood Fury.3	If the opponent dodges this strike, his weapons are unaffected and do damage this round. [LSJ 20040928]
R0193	100201|Blood Fury.4	A weapon strike done with first strike is unaffected (unless Soul Burn is used with first strike too). [LSJ 20040928]
R0194	100201|Blood Fury.5	Only nullify the weapon damage when it resolves, an opponent can successfully use {Rötschreck} after declaring a strike with {Ivory Bow}. [ANK 20170519]
R0195	100201|Blood Fury.6	The opponent cannot play [for] prevention cards (eg. for cycling). [LSJ 20050628]
R0196	100203|Blood of Acid.1	Damage from Blood of Acid is environmental. [RTR 19970630] [LSJ 20020708]
R0197	100203|Blood of Acid.2	Environmental damage is not counted by Blood of Acid. [RTR 19970630]
R0198	100203|Blood of Acid.3	Damage is applied even if the wielder goes to torpor as a result of the opponent's strike. [PIB 20150426]
R0199	100203|Blood of Acid.4	Proceed with strikes damage prevention (acting player first), then the target can prevent Blood of Acid damage, if any. All the damage is applied (and the blood lost) at once, after all preventions.[ANK 20170427] [LSJ 20040805]
R0200	100203|Blood of Acid.5	The damage is done after the strike damage is done: a single instantaneous prevention card (eg. {Soak}) cannot prevent both, although lingering damage prevention (eg. {Apparition}) could. [ANK 20200517-2]
R0201	100205|Blood of the Cobra.1	[QUI] If the chosen strike says to make a hand strike or a melee weapon strike, then the strike is ranged, but the hand or melee weapon portion of the strike is still only effective at close range. [RTR 20010710]
R0202	100208|Blood Rage.1	[THA] Additional damage inherits all of the properties of the base damage. [TOM 19960225]
R0203	100208|Blood Rage.2	If the opponent dodges this strike, his weapons are unaffected and do damage this round. [LSJ 20040928]
R0204	100208|Blood Rage.3	Does not protect the target from self-inflicted damage from a weapon. [LSJ 19980216]
R0205	100208|Blood Rage.4	The opponent cannot play [for] prevention cards (eg. for cycling). [LSJ 20050628]
R0206	100209|Blood Shield.1	The blood is burned by the opponent when the owner prevents damage, immediately, before loosing blood to heal strike damage. Depending on the sequencing order, it can be before or after he has the opportunity to play damage prevention themselves. [LSJ 20090528-1]
R0207	100212|Blood Tears of Kephran.1	Prevents up to 2 damage, it can be used to prevent less. [RTR 20041202]
R0208	100213|Blood Tempering.1	Additional damage inherits all of the properties of the base damage. [TOM 19960225]
R0209	100214|Blood to Water.1	Must be played after range is chosen, can be played before or after strikes are chosen. [ANK 20200703] [LSJ 20031008]
R0210	100215|Blood Trade.1	Does not prevent {Consanguineous Boon} to be played. [LSJ 20040531-2]
R0211	100216|Blood Turnip.1	The transferred blood or life is converted to the fitting type (blood or life) depending on the opponent (vampire or ally). [LSJ 20080704]
R0212	100216|Blood Turnip.2	When entering combat with an opposing Anarch, they get the blood and decide where Blood Turnip goes (the blood does not follow the Blood Turnip). [LSJ 20080704]
R0213	100217|Blood Weakens.1	You do not replace cards that require a discipline during any action. [ANK 20201015]
R0214	100218|Bloodbath.1	The target does not get an extra vote if it already has or subsequently gains a title. If the target loses his title, then he again gets his extra vote. [LSJ 19970224]
R0215	100219|Bloodform.1	[VIC] The press can only be used during the current round. [TOM 19960521]
R0216	100219|Bloodform.2	[VIC] Immune means damage is not inflicted, even if non-preventable or outside combat. [LSJ 20010627] [LSJ 20010629] [LSJ 20090304-1]
R0217	100221|Blooding by the Code.1	Can be played on a vampire with superior Valeren [VAL]. [LSJ 20051012]
