R1965	P	PRIMARY	102099|Veles' Hunt.1	Modifiers and reactions can be played during and after the referendum (eg. {Voter Captivation}, {Delaying Tactics}). [LSJ 20081202-2]
R1986	E	PRIMARY	102131|Voter Captivation.1	Is played after the referendum is resolved. If the effect of the referendum ousts the acting Methuselah, there is no time to play it to prevent the ousting. [RTR 19951110]
R1987	E	PRIMARY	102131|Voter Captivation.2	Can be played before or after other cards that are played "after action resolution" or "if the action was successful". [LSJ 20070327]
R1988	E	PRIMARY	102131|Voter Captivation.3	Can be used after a referendum that is automatically passing, but X is zero in this case. [PIB 20150105] [LSJ 19980107]
R1997	E	PRIMARY	102143|Wanderer's Counsel.2	[ACTION MODIFIER][REACTION] Cannot be used during a referendum that is automatically passing. [PIB 20150105] [LSJ 19980107]
R2046	E	secondary	102199|Yawp Court.2	If the acting minion is not ready after the combat, then the action ends and no referendum is conducted. [LSJ 20060902]
R2048	E	secondary	102199|Yawp Court.4	If the acting vampire gets out of torpor immediately (eg. {Warsaw Station}), the action ends and no referendum is conducted. [LSJ 20090325-1]
R2049	E	secondary	102199|Yawp Court.5	If {Rötschreck} is played against the acting vampire, the Sabbat vampire takes 2 damage (combat ends before torpor), the acting vampire goes to torpor and no referendum is conducted. [LSJ 20080821]
R2050	P	secondary	102199|Yawp Court.6	The effect is applied after cards that are played "at the end of the round (eg. {Disarm}) or "when combat would end". If a combat ends and a new combat would begin, the damage is applied between the two combats and the referendum is conducted after all the combats if the acting vampire is still ready. [ANK 20180910-1] [LSJ 20060903]
R2141	E	PRIMARY	200138|Armin Brenner.1	His ability is applied after the referendum effects are applied, including any oust and pool gained from it. [LSJ 20090115-2]
R2146	E	PRIMARY	200148|Astrid Thomas.1	Her ability triggers when votes are tallied. [RTR 20001020]
R2157	E	PRIMARY	200191|Bernard, the Scourge.1	When using his ability, modifiers and reactions can be played during and after the referendum (eg. {Voter Captivation}, {Delaying Tactics}). [LSJ 20081202-2]
R2189	E	PRIMARY	200365|Donald Cargill.1	His ability is applied after the referendum effects are applied, including any oust and pool gained from it. [LSJ 20090115-2]
R2190	E	PRIMARY	200365|Donald Cargill.2	His ability is still applied if the predator is ousted by the referendum effects. [LSJ 20090115-2]
R2199	P	secondary	200417|Ellison Humboldt.1	Can use his ability only once per referendum. [ANK 20180307-2] [RBK wording-templates]
R2275	E	secondary	200770|Kemintiri.4	[MERGED] If she plays a political action requiring a Justicar, she is not seen as such by other cards or effects during the referendum (eg. if another vampire plays {Closed Session} and she's not Camarilla she will not be able to vote. If she plays it, she can vote). [LSJ 20050128-2] [ANK 20221011-4] [RTR 20070707]
R2314	E	secondary	200885|Luna Giovanni.2	Her ability does not apply to the political action card played for a current action (it is in limbo). [LSJ 20070927]
R2315	E	PRIMARY	200890|Lutz von Hohenzollern.1	His ability is applied after the referendum effects are applied, including any oust and pool gained from it. [LSJ 20090115-2]
R2316	E	PRIMARY	200890|Lutz von Hohenzollern.2	His ability is not applied if his controller is ousted by the referendum effects (reversal of previous rulings). [ANK 20220808]
R2351	P	PRIMARY	200982|Michael Luther.1	His ability is only usable once each referendum, even if he unlocks somehow during the referendum. [LSJ 20041207]
R2417	P	secondary	201240|Sargon.1	His controller gets the Edge after the action resolves. If it is a referendum, he gets the Edge after the referendum is concluded. [LSJ 20011222] [ANK 20221028-2]
R2465	P	PRIMARY	201386|Travis "Traveler72" Miller.1	Must announce which conviction he burns as part of the terms of the action granted by his ability. [RTR 20111202]
R2556	P	secondary	G00021|Reduce votes.1	The votes provided by the Priscii sub-referendum are not affected. [ANK 20180307-1]
R2557	P	PRIMARY	G00022|Vote change.1	Cannot be used during a referendum that is automatically passing. [PIB 20150105] [LSJ 19980107]
R2600	P	secondary	G00061|Cancel an action.3	Can be used to cancel all action cards, including employ retainer, recruit ally and political action. [ANK 20200813-2]
